instance,halo_depth,expansion_ratio_mean,halo_fraction_mean,owned_total
CA-100-0027,0,1.0,0.0,339
CA-100-0027,1,2.4867498525073746,1.4867256637168142,339
CA-100-0027,2,5.123897050147493,4.123893805309734,339
CA-100-0027,4,5.991154572271387,4.991150442477876,339
CA-100-0028,0,1.0,0.0,341
CA-100-0028,1,2.607039589442815,1.6070381231671553,341
CA-100-0028,2,5.249275659824047,4.249266862170088,341
CA-100-0028,4,6.000039002932551,5.0,341
CA-100-0029,0,1.0,0.0,338
CA-100-0029,1,2.319524556213018,1.319526627218935,338
CA-100-0029,2,4.828402662721893,3.828402366863905,338
CA-100-0029,4,5.991113905325444,4.991124260355029,338
CA-100-0030,0,1.0,0.0,338
CA-100-0030,1,2.902371597633136,1.9023668639053255,338
CA-100-0030,2,5.499986094674556,4.5,338
CA-100-0030,4,5.999990236686391,5.0,338
CA-100-0031,0,1.0,0.0,335
CA-100-0031,1,2.5612000000000004,1.5611940298507463,335
CA-100-0031,2,4.6119200000000005,3.611940298507463,335
CA-100-0031,4,5.0,4.0,335
CA-100-0032,0,1.0,0.0,337
CA-100-0032,1,2.658750741839763,1.6587537091988132,337
CA-100-0032,2,5.234395252225519,4.234421364985163,337
CA-100-0032,4,5.997057863501484,4.997032640949555,337
CA-100-0033,0,1.0,0.0,339
CA-100-0033,1,2.7079678466076693,1.7079646017699115,339
CA-100-0033,2,5.336279351032448,4.336283185840708,339
CA-100-0033,4,5.997070796460177,4.997050147492625,339
CA-100-0034,0,1.0,0.0,335
CA-100-0034,1,2.7611999999999997,1.7611940298507462,335
CA-100-0034,2,4.695500000000001,3.6955223880597017,335
CA-100-0034,4,5.0,4.0,335
CA-100-0035,0,1.0,0.0,341
CA-100-0035,1,2.6510158357771263,1.651026392961877,341
CA-100-0035,2,5.302059824046921,4.302052785923753,341
CA-100-0035,4,6.000039002932551,5.0,341
CA-100-0036,0,1.0,0.0,338
CA-100-0036,1,2.7780976331360945,1.7781065088757397,338
CA-100-0036,2,5.428990532544378,4.428994082840236,338
CA-100-0036,4,5.999982248520711,5.0,338
CA-100-0037,0,1.0,0.0,336
CA-100-0037,1,2.74405,1.744047619047619,336
CA-100-0037,2,5.315466666666667,4.315476190476191,336
CA-100-0037,4,6.0,5.0,336
CA-100-0038,0,1.0,0.0,332
CA-100-0038,1,2.7891364457831327,1.7891566265060241,332
CA-100-0038,2,5.38253343373494,4.382530120481928,332
CA-100-0038,4,5.9940036144578315,4.993975903614458,332
CA-100-0039,0,1.0,0.0,336
CA-100-0039,1,3.06845,2.068452380952381,336
CA-100-0039,2,5.669666666666667,4.669642857142857,336
CA-100-0039,4,6.0,5.0,336
CA-100-0040,0,1.0,0.0,336
CA-100-0040,1,2.9523836309523808,1.9523809523809523,336
CA-100-0040,2,5.505954761904762,4.505952380952381,336
CA-100-0040,4,5.999995238095238,5.0,336
CA-100-0041,0,1.0,0.0,333
CA-100-0041,1,3.1922207207207203,2.1921921921921923,333
CA-100-0041,2,5.657653153153154,4.657657657657658,333
CA-100-0041,4,5.9999630630630625,5.0,333
CA-100-0042,0,1.0,0.0,334
CA-100-0042,1,2.6257778443113775,1.625748502994012,334
CA-100-0042,2,5.353304491017965,4.3532934131736525,334
CA-100-0042,4,6.000000598802395,5.0,334
CA-100-0043,0,1.0,0.0,337
CA-100-0043,1,2.830855489614243,1.8308605341246291,337
CA-100-0043,2,5.415427893175074,4.415430267062314,337
CA-100-0043,4,6.000038872403561,5.0,337
CA-100-0044,0,1.0,0.0,341
CA-100-0044,1,2.8680337243401754,1.8680351906158357,341
CA-100-0044,2,5.483881524926686,4.483870967741935,341
CA-100-0044,4,6.000039002932551,5.0,341
CA-100-0045,0,1.0,0.0,336
CA-100-0045,1,2.681553869047619,1.681547619047619,336
CA-100-0045,2,5.306536309523809,4.306547619047619,336
CA-100-0045,4,5.999990476190476,5.0,336
CA-100-0046,0,1.0,0.0,336
CA-100-0046,1,2.788683333333333,1.7886904761904763,336
CA-100-0046,2,5.488066666666667,4.488095238095238,336
CA-100-0046,4,6.0,5.0,336
CA-100-0047,0,1.0,0.0,336
CA-100-0047,1,2.7470333333333334,1.7470238095238095,336
CA-100-0047,2,5.380966666666668,4.380952380952381,336
CA-100-0047,4,6.0,5.0,336
CA-100-0048,0,1.0,0.0,338
CA-100-0048,1,2.810659467455621,1.8106508875739644,338
CA-100-0048,2,5.428973964497041,4.428994082840236,338
CA-100-0048,4,5.999982248520711,5.0,338
CA-100-0049,0,1.0,0.0,339
CA-100-0049,1,2.769914454277286,1.7699115044247788,339
CA-100-0049,2,5.463123008849558,4.463126843657817,339
CA-100-0049,4,6.000008849557522,5.0,339
CA-100-0050,0,1.0,0.0,334
CA-100-0050,1,3.3443170658682635,2.344311377245509,334
CA-100-0050,2,5.721578443113772,4.721556886227545,334
CA-100-0050,4,6.000000598802395,5.0,334
CA-100-0051,0,1.0,0.0,338
CA-100-0051,1,2.9763440828402365,1.9763313609467457,338
CA-100-0051,2,5.579892307692308,4.579881656804734,338
CA-100-0051,4,5.999982248520711,5.0,338
CA-100-0052,0,1.0,0.0,339
CA-100-0052,1,2.769918289085546,1.7699115044247788,339
CA-100-0052,2,5.471971091445428,4.471976401179941,339
CA-100-0052,4,6.000019469026549,5.0,339
CA-100-0053,0,1.0,0.0,340
CA-100-0053,1,2.48822,1.488235294117647,340
CA-100-0053,2,4.56762,3.5676470588235296,340
CA-100-0053,4,5.0,4.0,340
CA-100-0054,0,1.0,0.0,335
CA-100-0054,1,2.3671800000000003,1.3671641791044775,335
CA-100-0054,2,4.49256,3.4925373134328357,335
CA-100-0054,4,5.0,4.0,335
CA-100-0055,0,1.0,0.0,333
CA-100-0055,1,3.0150204204204205,2.015015015015015,333
CA-100-0055,2,5.528531531531532,4.528528528528528,333
CA-100-0055,4,5.9999630630630625,5.0,333
CA-100-0056,0,1.0,0.0,337
CA-100-0056,1,2.8902044510385756,1.8902077151335313,337
CA-100-0056,2,5.519305341246291,4.519287833827893,337
CA-100-0056,4,6.000038872403561,5.0,337
CA-100-0057,0,1.0,0.0,338
CA-100-0057,1,2.807699112426036,1.8076923076923077,338
CA-100-0057,2,5.4526594674556215,4.452662721893491,338
CA-100-0057,4,5.999982248520711,5.0,338
CA-100-0058,0,1.0,0.0,337
CA-100-0058,1,2.6706172106824924,1.6706231454005935,337
CA-100-0058,2,5.243311275964392,4.243323442136498,337
CA-100-0058,4,6.0000323442136505,5.0,337
CA-100-0059,0,1.0,0.0,338
CA-100-0059,1,2.585798224852071,1.5857988165680474,338
CA-100-0059,2,5.281054437869823,4.281065088757397,338
CA-100-0059,4,5.999982248520711,5.0,338
CA-100-0060,0,1.0,0.0,337
CA-100-0060,1,3.338283086053413,2.3382789317507418,337
CA-100-0060,2,5.655796735905045,4.655786350148368,337
CA-100-0060,4,6.000038872403561,5.0,337
CA-100-0061,0,1.0,0.0,338
CA-100-0061,1,2.8698316568047337,1.8698224852071006,338
CA-100-0061,2,5.476337573964496,4.476331360946745,338
CA-100-0061,4,5.999982248520711,5.0,338
CA-100-0062,0,1.0,0.0,333
CA-100-0062,1,2.7177264264264265,1.7177177177177176,333
CA-100-0062,2,5.465451651651652,4.465465465465465,333
CA-100-0062,4,5.9999630630630625,5.0,333
CA-100-0063,0,1.0,0.0,341
CA-100-0063,1,2.5454557184750732,1.5454545454545454,341
CA-100-0063,2,5.052787683284458,4.052785923753666,341
CA-100-0063,4,6.000024926686217,5.0,341
CA-100-0064,0,1.0,0.0,337
CA-100-0064,1,2.7210626112759644,1.7210682492581602,337
CA-100-0064,2,5.278935311572701,4.278931750741839,337
CA-100-0064,4,6.000038872403561,5.0,337
CA-100-0065,0,1.0,0.0,336
CA-100-0065,1,2.8750166666666663,1.875,336
CA-100-0065,2,5.386916666666667,4.386904761904762,336
CA-100-0065,4,6.0,5.0,336
CA-100-0066,0,1.0,0.0,338
CA-100-0066,1,2.7633298816568046,1.7633136094674555,338
CA-100-0066,2,5.357979585798817,4.3579881656804735,338
CA-100-0066,4,5.999982248520711,5.0,338
CA-100-0067,0,1.0,0.0,335
CA-100-0067,1,2.6955,1.6955223880597015,335
CA-100-0067,2,4.7164,3.716417910447761,335
CA-100-0067,4,5.0,4.0,335
CA-100-0068,0,1.0,0.0,337
CA-100-0068,1,2.9732905044510387,1.9732937685459941,337
CA-100-0068,2,5.569708605341246,4.56973293768546,337
CA-100-0068,4,6.000038872403561,5.0,337
CA-100-0069,0,1.0,0.0,336
CA-100-0069,1,2.8363,1.8363095238095237,336
CA-100-0069,2,5.413683333333333,4.413690476190476,336
CA-100-0069,4,5.97025,4.970238095238095,336
CA-100-0070,0,1.0,0.0,331
CA-100-0070,1,2.4531709969788524,1.4531722054380665,331
CA-100-0070,2,5.069493051359517,4.069486404833837,331
CA-100-0070,4,6.000012688821752,5.0,331
CA-100-0071,0,1.0,0.0,336
CA-100-0071,1,2.699407738095238,1.6994047619047619,336
CA-100-0071,2,5.312504464285714,4.3125,336
CA-100-0071,4,5.999995238095238,5.0,336
CA-100-0072,0,1.0,0.0,339
CA-100-0072,1,2.9174017699115047,1.9174041297935103,339
CA-100-0072,2,5.513279646017699,4.513274336283186,339
CA-100-0072,4,6.000030088495575,5.0,339
CA-100-0073,0,1.0,0.0,338
CA-100-0073,1,2.7396443786982245,1.7396449704142012,338
CA-100-0073,2,5.402365680473373,4.402366863905326,338
CA-100-0073,4,5.999982248520711,5.0,338
CA-100-0074,0,1.0,0.0,336
CA-100-0074,1,3.0565333333333333,2.056547619047619,336
CA-100-0074,2,5.616083333333334,4.616071428571429,336
CA-100-0074,4,6.0,5.0,336
CA-100-0075,0,1.0,0.0,339
CA-100-0075,1,3.1652171091445425,2.1651917404129795,339
CA-100-0075,2,5.616526843657817,4.616519174041298,339
CA-100-0075,4,6.000030088495575,5.0,339
CA-100-0076,0,1.0,0.0,337
CA-100-0076,1,2.810097922848665,1.8100890207715135,337
