,name,_runtime,_step,_timestamp,best_epoch,best_val_loss,data/train_size,data/valid_size,early_stop,early_stop_epoch,epoch,lr,train/lejepa_loss,train/lejepa_loss_b,train/lejepa_pred_loss,train/lejepa_pred_loss_b,train/lejepa_sigreg_loss,train/lejepa_sigreg_loss_b,training/step,valid/iso/D,valid/iso/N,valid/iso/kappa,valid/iso/mean_abs_corr,valid/iso/radius_mean,valid/iso/radius_mean_ratio,valid/iso/radius_std,valid/iso/radius_std_ratio,valid/iso/sigreg,valid/iso/sphericity,valid/lejepa_loss,valid/lejepa_pred_loss,valid/lejepa_sigreg_loss,epochs,dropout,lejepa_lambda,sigreg_points,sigreg_slices,lejepa_local_mask,lejepa_global_mask,early_stop_patience,early_stop_min_delta,lejepa_n_local_views,lejepa_n_global_views
13,restful-sweep-14,3686.833175301,3410,1764294238.00598,11,0.871911443769932,28000,6000,True,31,31,0.001,0.00204154084409986,0.326142072677612,0.000761914298470531,0.194122105836868,0.0448343475716455,4.74110555648804,3410,128,250,22699036160,0.309075019011895,9.65096990267436,0.854700974567504,2.71656932433446,3.84558107307823,13.1092880169551,0.0502422420928876,0.513108952591817,0.186728518456221,11.4278050065041,100,0,0.0290346238549048,13,512,0.352218043253868,0.830820985592927,20,0.5,8,3
17,brisk-sweep-18,3655.9174636,3410,1764308722.67472,11,0.924548236032327,28000,6000,True,31,31,0.001,0.00219345498723643,0.330107152462006,0.000786642981427056,0.204865500330925,0.0492005736657551,4.51492357254028,3410,128,250,26118936917.3333,0.318814720958471,10.0634407997131,0.89122987075462,3.30776180823644,4.6824743583974,13.3875926534335,0.048177166065822,0.535418438414733,0.200200349713365,11.7363720138868,100,0,0.029058000672665,13,512,0.351718811516669,0.729735377320368,20,0.5,8,3
12,divine-sweep-13,5653.645159558,5280,1764290545.29721,28,0.935178416470687,28000,6000,True,48,48,0.001,0.00248132992216519,0.418130934238434,0.00106904789698975,0.261390954256058,0.0283575474449566,3.28996348381043,5280,128,250,10156672405.25,0.231155204276244,9.81618142127991,0.869332296329559,2.20784983535608,3.12543672748875,8.93944708506266,0.0866251994545261,0.62268212189277,0.256524184097846,7.33152815699577,100,0,0.0517537462494658,13,512,0.341881500806952,0.738583389893768,20,0.5,8,3
10,amber-sweep-11,3855.452262704,3960,1764282506.72498,16,0.990651942789555,28000,6000,True,36,36,0.001,0.0023836353463786,0.430261015892029,0.00108850788644382,0.288713067770004,0.0372782383816583,4.24398565292358,3960,128,250,11704993834.3333,0.27402347077926,9.82364078362783,0.86999290602296,2.5343086818854,3.58757253610084,11.9062612255414,0.0617755050770938,0.609940628210704,0.281573377549648,9.45713541905085,100,0,0.0357871524859506,13,512,0.352593940751251,0.838575099008942,20,0.5,8,2
21,bright-sweep-22,2673.421091324,2509,1764325385.33458,9,1.24865893771251,28000,6000,,,22,0.001,0.00302123313929353,0.74086457490921,0.000879577430763415,0.222453758120537,0.0491379853827613,11.903920173645,2509,128,250,24384514579.3333,0.329443054894606,9.85264492034912,0.872561545669769,2.99079566200574,4.2337764356783,14.4017091194789,0.0465866501132647,0.796163350343704,0.21331849321723,13.3466923435529,100,0,0.0443789156077615,13,512,0.364340328687352,0.75814475037534,20,0.5,8,3
9,decent-sweep-10,2387.419731872,2469,1764278643.7715,21,1.29513449966908,28000,6000,,,22,0.001,0.00501132657698223,1.23250079154968,0.00138545219387327,0.351794719696045,0.0670853950977326,16.3099708557129,2469,128,250,31485580373.3333,0.413806720326344,8.82141236464183,0.781234406609422,3.73413084944089,5.28604324225206,21.9638464450836,0.0292065794734905,1.28605173528194,0.333916167418162,17.5863760113716,100,0,0.0551883936025689,13,512,0.343375177224865,0.8281395816894,20,0.5,8,2
2,autumn-sweep-3,3828.417708717,3960,1764260260.25699,16,1.35972560942173,28000,6000,True,36,36,0.001,0.00367426898011139,0.559054672718048,0.00107246500785862,0.267168909311295,0.0433412114041192,5.00912714004517,3960,128,250,27678042453.3333,0.318811112393936,10.1149615446726,0.895792607077644,3.15505169828733,4.46629761546379,12.8495894273122,0.048403130689015,0.938534503181775,0.267487745732069,11.1692719062169,100,0,0.0615538480561684,9,256,0.329062042658527,0.774332329520496,20,0.5,8,2
7,comfy-sweep-8,1940.956244117,2456,1764270905.22107,18,1.44017398854097,28000,6000,,,22,0.001,0.0055905155901398,1.4386111497879,0.00238739678050791,0.611757159233093,0.0561184638227735,14.4819097518921,2456,128,250,31629871104,0.384465628614028,8.61200722058614,0.762689246640138,3.93074098229408,5.56436494709604,24.0024620691935,0.032295025109003,1.39865116278331,0.576616816222668,14.3659218947093,100,0,0.0596139066604051,9,256,0.300101516233742,0.836314595859578,20,0.5,6,2
11,misty-sweep-12,2365.634466924,2436,1764284884.68693,13,1.67615781227748,28000,6000,,,22,0.001,0.00525763925909996,1.22343242168427,0.00200525745110852,0.491931587457657,0.0570588785069329,12.874171257019,2436,128,250,30611565312,0.354769529153903,9.52599108219147,0.843632706741135,3.20467229684194,4.53654063592607,18.841535727183,0.0388909848406911,1.3022209952275,0.468309226135413,14.5840760270754,100,0,0.0590766179015698,13,512,0.316407969112648,0.820972061252962,20,0.5,8,2
4,dazzling-sweep-5,2381.559263328,2477,1764264721.20714,12,1.76593626538912,28000,6000,,,22,0.001,0.00519450347338404,1.30602788925171,0.00194555458320039,0.516485154628754,0.0417321424484253,10.1852159500122,2477,128,250,19480573366,0.312417914470037,9.36855415503184,0.829689911723304,2.76463173826536,3.91361832421092,13.9367057482402,0.0491657455762227,1.32018476227919,0.491791831950347,10.6362815499306,100,0,0.0816593964527843,9,512,0.319538007969461,0.745471962741363,20,0.5,8,2
3,dry-sweep-4,2069.809147099,2310,1764262335.30712,1,4.0949929356575,28000,6000,True,21,21,0.001,0.00463342144872461,0.971898138523102,0.00337854842841625,0.851789355278015,0.0344201023152896,3.8228976726532,2310,128,250,2.25556393464406,0.00585854204837233,0.000891558690151821,7.89574611714132E-05,0.000674080426203242,0.000954229625402536,166.38534228007,0.932891885439555,5.85292998949687,0.0165101017337292,144.390909830729,100,0.3,0.0404255856744416,13,512,0.36304368213649,0.802137738757986,20,0.5,6,3
6,sparkling-sweep-7,1829.05603788,2310,1764268962.18136,1,4.35568291445573,28000,6000,True,21,21,0.001,0.00493914536493165,1.02784657478333,0.00352571654958384,0.894106030464172,0.0364846317427499,4.01272439956665,2310,128,250,775.395530700684,0.528674319386482,0.0224503176286817,0.00198822590372673,0.0166799558016161,0.0236121794337758,102.940011660258,0.0108732839968676,4.15817322333654,0.0152030619404589,96.6226835250854,100,0.3,0.0428845686497073,9,512,0.324028876483045,0.814539649447276,20,0.5,6,2
5,rosy-sweep-6,2396.918925071,2492,1764267126.16814,19,5.86667254567146,28000,6000,,,22,0.001,0.00527735804234232,1.33510661125183,0.0039305808948619,1.01365745067596,0.0241092470714024,5.82990694046021,2492,128,250,392053690.666667,0.917073465883732,2.56306906541189,0.226988339014954,1.5489678333203,2.19272202231868,80.4016869862874,0.00788028251069287,5.58442315459251,0.0519502423703671,82.9446028073629,100,0.3,0.0667426229683805,9,512,0.332784118881054,0.73753605326719,20,0.5,8,2
0,quiet-sweep-1,3630.867489453,3740,1764251811.28573,14,7.41000880797704,28000,6000,True,34,34,0.001,0.00554866559590612,1.2238575220108,0.0043155001785074,1.12473666667938,0.0198883415119989,2.37646961212158,3740,128,250,61465.6666666667,0.844501997033755,0.199608255798618,0.0176775362977272,0.148022790128986,0.209541363441449,109.241770426432,0.00803667648384968,7.63231504956881,0.0349013206238548,95.9776827494303,100,0.3,0.0791869252690324,13,256,0.302969245684417,0.877320773853954,20,0.5,8,2
